абсолютизирование	[абсолютизировать]
перешагивание	[перешагивать]
перешаривание	[перешаривать]
перешвыривание	[перешвыривать, перешвыриваться, перешвыривать, перешвыриваться]
перешевеливание	[перешевеливать]
перешелушивание	[перешелушивать]
перешёптывание	[перешёптывать, перешёптываться]
перешиб	[перешибать, перешибить]
перешив	[перешивать, перешить]
перешивание	[перешивать]
перешивка	[перешивать, перешить]
перешлифовка	[перешлифовывать, перешлифовать]
перешлихтование	[перешлихтовывать, перешлихтовать, перешлихтовывать, перешлихтовать]
перешлихтовка	[перешлихтовывать, перешлихтовать, перешлихтовывать, перешлихтовать]
перешнуровка	[перешнуровывать, перешнуровать, перешнуровываться, перешнуроваться]
перешнуровывание	[перешнуровывать]
перешныривание	[перешныривать]
перешпиговывание	[перешпиговывать]
перешпиливание	[перешпиливать]
перештемпелёвывание	[перештемпелёвывать]
перештопывание	[перештопывать]
перештукатуривание	[перештукатуривать]
перешучивание	[перешучивать, перешучиваться]
перещёлк	[перещёлкивать, перещёлкать]
перещёлкивание	[перещёлкивать]
перещипка	[перещипывать, перещипать]
перещипывание	[перещипывать]
перещупывание	[перещупывать]
перифразировка	[перифразировать]
персифлирование	[персифлировать]
персонификация	[персонифицировать]
перфорирование	[перфорировать]
перхание	[перхать]
пестание	[пестать]
пестование	[пестовать, пестовать]
печалование	[печаловать, печаловаться]
печатание	[печатать, печататься]
печение	[печь]
пигментирование	[пигментировать]
пикание	[пикать]
пикетирование	[пикетировать]
пикирование	[пикировать, пикировать]
пикировка	[пикировать]
пиление	[пилить]
пиликание	[пиликать]
пилка	[пилить]
пилотирование	[пилотировать]
пинание	[пинать]
пинькание	[пинькать]
пирование	[пировать]
писание	[писать]
пискание	[пискать]
письмо	[писать]
питание	[питать, питаться, питать, питаться]
питьё	[пить]
пичкание	[пичкать]
пищание	[пищать]
плавание	[плавать]
плавка	[плавить, плавиться]
плавление	[плавить, плавиться]
плакирование	[плакировать]
планирование	[планировать, планировать]
планировка	[планировать]
пластание	[пластать]
пластование	[пластовать]
платание	[платать]
платинирование	[платинировать]
плач	[плакать]
плевание	[плевать, плеваться]
пленение	[пленять, пленить, пленять, пленить]
плескание	[плескать, плескаться]
плесневение	[плесневеть]
плетение	[плести]
плинтование	[плинтовать]
плинтовка	[плинтовать]
плиссировка	[плиссировать]
плодоношение	[плодоносить]
плоение	[плоить]
плойка	[плоить]
пломбирование	[пломбировать]
пломбировка	[пломбировать]
плотничание	[плотничать]
площение	[площить]
плутание	[плутать]
плутование	[плутовать]
плюсование	[плюсовать]
плюхание	[плюхать, плюхаться]
плющение	[плющить]
пляс	[плясать]
плясание	[плясать]
пляска	[плясать]
побалтывание	[побалтывать]
побеление	[побелеть]
побелка	[побелить]
побивание	[побивать]
побиение	[побить]
побитие	[побить]
побледнение	[побледнеть]
поблёскивание	[поблескивать]
побрякивание	[побрякивать]
побудка	[побудить]
побурение	[побуреть]
повал	[повалить]
поверка	[поверить, поверять]
повёртывание	[повёртывать]
повесничание	[повесничать]
повествование	[повествовать]
повивание	[повивать]
повизгивание	[повизгивать]
повиливание	[повиливать]
поворачивание	[поворачивать, поворачиваться]
поворот	[поворотить, поворотиться]
повреждение	[повредить, повреждать, повредиться, повреждаться]
повторение	[повторить, повторять, повториться, повторяться]
повышение	[повысить, повышать, повыситься, повышаться]
повязывание	[повязывать]
погасание	[погасать, погасать]
погашение	[погасить, погашать]
погибание	[погибать]
поглощение	[поглотить, поглощать, поглотиться, поглощаться]
поглядывание	[поглядывать]
погребение	[погрести, погребать]
погромыхивание	[погромыхивать]
погрохатывание	[погрохатывать]
погружение	[погрузить, погружать, погрузиться, погружаться]
погрузка	[погружать, погрузить, погружаться, погрузиться]
погубление	[погубить]
подавание	[подавать]
подавление	[подавить, подавить]
подавливание	[подавливать]
подача	[подать]
подбавка	[подбавить]
подбавление	[подбавить]
подбадривание	[подбадривать]
подбалтывание	[подбалтывать]
подбегание	[подбегать]
подбеливание	[подбеливать]
подбелка	[подбелить]
подбивание	[подбивать]
подбивка	[подбить]
подбирание	[подбирать]
подбитие	[подбить]
подбой	[подбить]
подбор	[подбирать, подобрать, подбираться, подобраться]
подборка	[подбирать, подобрать]
подбрасывание	[подбрасывать]
подбривание	[подбривать]
подваливание	[подваливать]
подвалка	[подвалить]
подваривание	[подваривать]
подварка	[подварить]
подващивание	[подващивать]
подвевание	[подвевать]
подведение	[подвести]
подвезение	[подвезти]
подвергание	[подвергать, подвергаться]
подвержение	[подвергнуть]
подвёрстка	[подверстать]
подвёрстывание	[подвёрстывать]
подвёртка	[подвертеть, подвернуть]
подвёртывание	[подвёртывать, подвёртываться]
подвес	[подвесить, подвеситься]
подвеска	[подвесить]
подвешивание	[подвешивать]
подвигание	[подвигать]
подвизание	[подвизаться]
подвизгивание	[подвизгивать]
подвиливание	[подвиливать]
подвинчивание	[подвинчивать]
подвирание	[подвирать]
подвод	[подводить]
подводка	[подводить]
подвоз	[подвозить]
подвозка	[подвозить]
подволакивание	[подволакивать]
подволочение	[подволочить]
подворачивание	[подворачивать]
подвывание	[подвывать]
подвязка	[подвязать]
подвязывание	[подвязывать]
подвяливание	[подвяливать]
подгаживание	[подгаживать]
подгвазживание	[подгвазживать]
подгиб	[подогнуть]
подгибание	[подгибать]
подгладывание	[подгладывать]
подглаживание	[подглаживать]
подглядывание	[подглядывать]
подгнаивание	[подгнаивать]
подгнивание	[подгнивать]
подговаривание	[подговаривать]
подговор	[подговаривать, подговорить]
подгон	[подгонять, подогнать]
подгонка	[подгонять, подогнать]
подгорание	[подгорать]
подготавливание	[подготавливать]
подготовка	[подготовить]
подготовление	[подготовить]
подгребание	[подгребать]
подгрузка	[подгрузить]
подгрунтовка	[подгрунтовать]
подгрызание	[подгрызать]
поддабривание	[поддабривать]
поддавание	[поддавать]
поддавливание	[поддавливать]
поддакивание	[поддакивать]
поддалбливание	[поддалбливать]
поддача	[поддать, поддаться]
поддвигание	[поддвигать, поддвигаться]
поддевание	[поддевать, поддевать]
подделка	[подделать]
подделывание	[подделывать, подделываться]
поддёрг	[поддёрнуть]
поддёргивание	[поддёргивать]
поддержание	[поддержать]
поддерживание	[поддерживать]
поддержка	[поддержать]
поддирание	[поддирать]
поддой	[поддоить]
поддолбление	[поддолбить]
поддразнивание	[поддразнивать]
поддувание	[поддувать]
поделка	[поделать]
подёргивание	[подёргивать, подёргиваться]
поджаривание	[поджаривать]
поджарка	[поджарить]
поджатие	[поджать]
подживание	[подживать]
подживление	[подживлять]
поджигание	[поджигать]
поджидание	[поджидать]
поджимание	[поджимать]
подзадоривание	[подзадоривать]
подзвякивание	[подзвякивать]
подзуживание	[подзуживать]
подзыв	[подозвать]
подзывание	[подзывать]
подкаливание	[подкаливать]
подкалка	[подкалить]
подкалывание	[подкалывать, подкалывать]
подкапчивание	[подкапчивать]
подкапывание	[подкапывать]
подкарауливание	[подкарауливать]
подкармливание	[подкармливать]
подкат	[подкатывать, подкатить, подкатываться, подкатиться]
подкатка	[подкатывать, подкатить]
подкатывание	[подкатывать]
подкачивание	[подкачивать]
подкачка	[подкачать]
подкашивание	[подкашивать]
подкашливание	[подкашливать]
подкваска	[подквасить]
подквашивание	[подквашивать]
подкидка	[подкинуть]
подкидывание	[подкидывать]
подкисание	[подкисать]
подкисление	[подкислить]
подкладывание	[подкладывать]
подклёв	[подклевать]
подклёвывание	[подклёвывать]
подклеивание	[подклеивать]
подклейка	[подклеить]
подклёпка	[подклепать]
подклёпывание	[подклёпывать]
подклик	[подкликнуть]
подкликивание	[подкликивать]
подклинивание	[подклинивать]
подклинка	[подклинить]
подключение	[подключить, подключиться]
подковка	[подковать]
подковывание	[подковывать]
подковыривание	[подковыривать]
подковырка	[подковыривать, подковырнуть]
подколачивание	[подколачивать]
подколупывание	[подколупывать]
подкоп	[подкопать, подкопаться]
подкопка	[подкопать]
подкорачивание	[подкорачивать]
подкормка	[подкормить]
подкос	[подкашивать, подкосить]
подкрад	[подкрасться]
подкрадывание	[подкрадываться]
подкраивание	[подкраивать]
подкраска	[подкрасить]
подкрахмаливание	[подкрахмаливать]
подкрашивание	[подкрашивать]
подкрепление	[подкрепить, подкрепиться]
подкрикивание	[подкрикивать]
подкройка	[подкроить]
подкрутка	[подкрутить]
подкручивание	[подкручивать]
подкрякивание	[подкрякивать]
подкуп	[подкупать, подкупить]
подкупание	[подкупать]
подкур	[подкурить]
подкуривание	[подкуривать]
подкурка	[подкурить]
подлавливание	[подлавливать]
подлаживание	[подлаживать, подлаживаться]
подлаивание	[подлаивать]
подламывание	[подламывать, подламывать]
подлатывание	[подлатывать]
подлащивание	[подлащиваться]
подлезание	[подлезать]
подлёт	[подлететь]
подлетание	[подлетать]
подлив	[подлить]
подливание	[подливать]
подливка	[подлить]
подлизывание	[подлизывать]
подлипание	[подлипать]
подличание	[подличать]
подлом	[подломить]
подмазка	[подмазать]
подмазывание	[подмазывать]
подмалёвка	[подмалевать]
подманивание	[подманивать]
подманка	[подманить]
подмаргивание	[подмаргивать]
подмарывание	[подмарывать]
подмасливание	[подмасливать]
подматывание	[подматывать]
подмахивание	[подмахивать]
подмачивание	[подмачивать]
подмащивание	[подмащивать]
подменивание	[подменивать]
подмерзание	[подмерзать]
подмес	[подмесить]
подмесь	[подмешать]
подмёт	[подметнуть]
подметание	[подметать]
подмётывание	[подмётывать, подмётывать]
подмечание	[подмечать]
подмешивание	[подмешивать]
подмиг	[подмигнуть]
подмигивание	[подмигивать]
подмокание	[подмокать]
подмолаживание	[подмолаживать]
подмораживание	[подмораживать]
подмотка	[подмотать]
подмочка	[подмочить]
подмуровка	[подмуровать]
подмуровывание	[подмуровывать]
подмыв	[подмывать, подмыть]
подмывание	[подмывать, подмываться]
подмывка	[подмывать, подмыть]
подначка	[подначить]
поднесение	[поднести]
поднизывание	[поднизывать]
поднимание	[поднимать]
подновление	[подновить]
подноска	[подносить]
подношение	[подносить]
поднятие	[поднять, подняться]
подогрев	[подогреть]
подогревание	[подогревать]
подозревание	[подозревать]
подопревание	[подопревать]
подорожание	[подорожать]
подпаивание	[подпаивать, подпаивать]
подпайка	[подпаять]
подпалзывание	[подпалзывать]
подпаливание	[подпаливать]
подпарывание	[подпарывать]
подпевание	[подпевать]
подпечатывание	[подпечатывать]
подпил	[подпилить]
подпиливание	[подпиливать]
подпилка	[подпилить]
подпирание	[подпирать]
подписание	[подписать]
подписка	[подписываться, подписаться]
подписывание	[подписывать, подписывать]
подпись	[подписать]
подпихивание	[подпихивать]
подплывание	[подплывать]
подплясывание	[подплясывать]
подползание	[подползать]
подпоясывание	[подпоясывать]
подправка	[подправить]
подпруживание	[подпруживать]
подпрыг	[подпрыгнуть]
подпрыгивание	[подпрыгивать]
подпрягание	[подпрягать]
подпряжка	[подпрячь]
подпуск	[подпускать, подпустить]
подпускание	[подпускать]
подпушивание	[подпушивать]
подпушка	[подпушить]
подрабатывание	[подрабатывать]
подработка	[подработать]
подравнивание	[подравнивать]
подрагивание	[подрагивать]
подражание	[подражать]
подразделение	[подразделить]
подразумевание	[подразумевать]
подрастание	[подрастать]
подращивание	[подращивать]
подрез	[подрезать]
подрезание	[подрезать, подрезаться]
подрезка	[подрезать]
подрезывание	[подрезывать]
подрессоривание	[подрессоривать]
подрешечение	[подрешетить]
подрешечивание	[подрешечивать]
подрисовка	[подрисовать]
подрисовывание	[подрисовывать]
подруб	[подрубить]
подрубание	[подрубать]
подрубка	[подрубить]
подруливание	[подруливать]
подрумянивание	[подрумянивать]
подрыв	[подорвать, подорваться, подрыть, подрыться]
подрывание	[подрывать, подрывать]
подрывка	[подрывать, подорвать]
подрытие	[подрыть]
подсадка	[подсадить]
подсаживание	[подсаживать, подсаживаться]
подсаливание	[подсаливать]
подсасывание	[подсасывать]
подсахаривание	[подсахаривать]
подсачивание	[подсачивать, подсачивать]
подсвет	[подсветить]
подсветка	[подсветить]
подсвечивание	[подсвечивать]
подсвистывание	[подсвистывать]
подсев	[подсеивать, подсеять]
подсевание	[подсевать]
подсевка	[подсевать, подсеять]
подсед	[подседать]
подсеивание	[подсеивать]
подсек	[подсечь]
подсекание	[подсекать]
подсечка	[подсекать, подсечь]
подсиживание	[подсиживать]
подсинивание	[подсинивать]
подсинька	[подсинить]
подскабливание	[подскабливать]
подсказка	[подсказать]
подсказывание	[подсказывать]
подскакивание	[подскакивать]
подскок	[подскочить]
подслащивание	[подслащивать]
подслуживание	[подслуживать, подслуживаться]
подслушивание	[подслушивать]
подсмаливание	[подсмаливать]
подсматривание	[подсматривать]
подсмеивание	[подсмеиваться]
подсовывание	[подсовывать]
подсол	[подсолить]
подсортировка	[подсортировать]
подсортировывание	[подсортировывать]
подсос	[подсосать, подсасывать]
подсочка	[подсочить]
подставка	[подставлять, подставить, подставляться, подставиться]
подставление	[подставить]
подстановка	[подстановить]
подстёгивание	[подстёгивать, подстёгивать, подстёгивать]
подстёжка	[подстёгивать, подстёгивать]
подстерегание	[подстерегать]
подстилание	[подстилать]
подстилка	[подостлать]
подстораживание	[подстораживать]
подстрагивание	[подстрагивать]
подстраивание	[подстраивать]
подстрачивание	[подстрачивать]
подстрекание	[подстрекать]
подстреливание	[подстреливать]
подстригание	[подстригать]
подстрижка	[подстричь]
подстройка	[подстроить]
подстругивание	[подстругивать]
подстружка	[подстругать]
подступ	[подступить, подступиться]
подступание	[подступать]
подступление	[подступить]
подстывание	[подстывать]
подсучивание	[подсучивать]
подсушивание	[подсушивать]
подсушка	[подсушить]
подсчёт	[подсчитать]
подсчитывание	[подсчитывать]
подсыл	[подсылать, подослать]
подсылание	[подсылать]
подсыпание	[подсыпать]
подсыпка	[подсыпать]
подсыхание	[подсыхать]
подтаивание	[подтаивать]
подталкивание	[подталкивать]
подтанцовывание	[подтанцовывать]
подтапливание	[подтапливать]
подтаптывание	[подтаптывать]
подтаскивание	[подтаскивать]
подтасовка	[подтасовывать]
подтасовывание	[подтасовывать]
подтачивание	[подтачивать, подтачиваться, подтачивать]
подтверждение	[подтвердить]
подтекание	[подтекать]
подтёска	[подтесать]
подтёсывание	[подтёсывать]
подтирание	[подтирать]
подтирка	[подтереть, подтереться]
подток	[подтекать, подтечь]
подтоп	[подтопить]
подтопка	[подтопить]
подтопление	[подтопить]
подтормаживание	[подтормаживать]
подточка	[подточить]
подтравка	[подтравить]
подтравливание	[подтравливать]
подтрунивание	[подтрунивать]
подтрушивание	[подтрушивать]
подтушёвка	[подтушевать]
подтушёвывание	[подтушёвывать]
подтыкание	[подтыкать]
подтягивание	[подтягивать, подтягиваться]
подтяжка	[подтянуть]
подуськивание	[подуськивать]
подучивание	[подучивать]
подущение	[подустить]
подхват	[подхватывать, подхватить]
подхватывание	[подхватывать]
подхихикивание	[подхихикивать]
подхлёстывание	[подхлёстывать]
подход	[подходить]
подхрапывание	[подхрапывать]
подцветка	[подцветить]
подцвечивание	[подцвечивать]
подчеканка	[подчеканить]
подчёркивание	[подчёркивать]
подчинение	[подчинить, подчинять, подчиниться, подчиняться, подчинить, подчинять, подчиниться, подчиняться]
подчистка	[подчистить]
подчитка	[подчитать]
подчитывание	[подчитывать]
подчищение	[подчистить]
подшёптывание	[подшёптывать]
подшибание	[подшибать]
подшивание	[подшивать]
подшивка	[подшить]
подшлифовка	[подшлифовать]
подшпиливание	[подшпиливать]
подшпоривание	[подшпоривать]
подшучивание	[подшучивать]
подщёлкивание	[подщёлкивать]
подъедание	[подъедать]
подъезд	[подъезжать]
подъезжание	[подъезжать]
подъём	[поднять, подняться]
подъёмка	[поднимать, поднять, подниматься, подняться]
подыгрывание	[подыгрывать]
подымание	[подымать, подыматься]
подыскание	[подыскать]
подыскивание	[подыскивать]
подытоживание	[подытоживать]
поедание	[поедать]
поездование	[поездовать]
поение	[поить]
пожалование	[пожаловать]
пожатие	[пожать]
пожёвывание	[пожёвывать]
пожелтение	[пожелтеть]
пожертвование	[пожертвовать]
пожимание	[пожимать, пожиматься]
пожирание	[пожирать]
пожог	[пожечь]
позаимствование	[позаимствовать]
позванивание	[позванивать]
позвякивание	[позвякивать]
позёвывание	[позёвывать]
позеленение	[позеленеть]
позирование	[позировать]
позлащение	[позлатить, позлащать]
познавание	[познавать]
познание	[познавать, познать]
поимка	[поймать]
показ	[показывать, показать]
показание	[показать]
показывание	[показывать]
покалывание	[покалывать, покалывать]
покатывание	[покатываться]
покачивание	[покачивать, покачиваться]
покашливание	[покашливать]
поклёв	[поклевать]
поклонение	[поклоняться]
покорение	[покорить, покорять]
покраска	[покрасить]
покраснение	[покраснеть]
покрикивание	[покрикивать]
покручивание	[покручивать]
покрывание	[покрывать]
покрытие	[покрыть]
покрякивание	[покрякивать]
покряхтывание	[покряхтывать]
покупка	[покупать]
покус	[покусать]
покушение	[покушаться, покуситься]
поламывание	[поламывать, поламывать]
полдничание	[полдничать]
полевение	[полеветь]
полегание	[полегать]
ползание	[ползать]
полив	[поливать]
поливание	[поливать]
поливка	[поливать, полить]
полирование	[полировать]
полировка	[полировать]
полка	[полоть]
поломка	[поломать, поломаться]
полонизация	[полонизировать, полонизироваться]
полоскание	[полоскать, полоскаться]
полосование	[полосовать]
получение	[получить, получать]
получка	[получать, получить]
полыхание	[полыхать]
пользование	[пользоваться, пользовать]
помавание	[помавать]
помазывание	[помазывать]
помаргивание	[помаргивать]
помарка	[помарать]
поматывание	[поматывать]
помахивание	[помахивать]
помертвение	[помертветь]
помешивание	[помешивать, помешивать]
помещение	[поместить, помещать]
помигивание	[помигивать]
помилование	[помиловать]
помин	[поминать]
поминание	[поминать]
поминовение	[поминать]
помогание	[помогать]
помол	[помолоть]
помрачение	[помрачить, помрачать, помрачиться, помрачаться]
помутнение	[помутнеть, помутнеть]
помыкание	[помыкать]
понижение	[понизить, понижать, понизиться, понижаться]
понимание	[понимать]
понтировка	[понтировать]
понуждение	[понудить, понуждать, понуждаться]
понукание	[понукать]
поощрение	[поощрить, поощрять]
попадание	[попасть, попадать]
попиливание	[попиливать]
попирание	[попирать]
попискивание	[попискивать]
пописывание	[пописывать]
поплёвывание	[поплёвывать]
поплясывание	[поплясывать]
пополнение	[пополнить, пополнять, пополниться, пополняться, пополнеть]
поправка	[поправить, поправлять, поправляться, поправиться]
поправление	[поправить, поправлять, поправиться, поправляться]
попрание	[попрать]
попрыгивание	[попрыгивать]
попрыскивание	[попрыскивать]
популяризация	[популяризировать]
популярничание	[популярничать]
попыхивание	[попыхивать]
порабощение	[поработить, порабощать, поработиться, порабощаться]
поравнение	[поравнить]
поражение	[поразить, поражать]
поредение	[поредеть]
порез	[порезать]
порка	[пороть, пороть]
порождение	[порождать, породить]
порочение	[порочить]
портняжение	[портняжить]
портретирование	[портретировать]
порубка	[порубить]
поручение	[поручать, поручить]
порхание	[порхать]
порча	[портить]
порыв	[порывать, порвать, порываться, порваться]
посапывание	[посапывать]
посверкивание	[посверкивать]
посветление	[посветлеть]
посвистывание	[посвистывать]
посвящение	[посвящать, посвятить]
посев	[посеять]
поселение	[поселять, поселить]
посещение	[посещать, посетить]
поскабливание	[поскабливать]
поскрипывание	[поскрипывать]
послабление	[послабить, послаблять]
последование	[последовать]
посол	[посолить]
поспевание	[поспевать]
поспешение	[поспешить, поспешать]
посрамление	[посрамить, посрамлять]
поставление	[поставить]
постановка	[поставить, ставить]
постановление	[постановить, постановлять]
постарение	[постареть]
постигание	[постигать]
постижение	[постигать, постигнуть]
постилка	[постилать]
постреливание	[постреливать]
построение	[построить, построить]
постройка	[построить]
постукивание	[постукивать]
поступление	[поступать, поступить]
посыл	[посылать]
посылка	[посылать, послать]
посыпание	[посыпать]
потакание	[потакать]
потворствование	[потворствовать]
потемнение	[потемнеть, потемнеть]
потение	[потеть]
потепление	[потеплеть]
потеря	[потерять, потерять]
потирание	[потирать]
потопление	[потопить, потоплять]
поторапливание	[поторапливать]
потрескивание	[потрескивать]
потрошение	[потрошить]
потрясение	[потрясать, потрясти]
потряхивание	[потряхивать]
потускнение	[потускнеть]
потухание	[потухать]
потчевание	[потчевать]
потягивание	[потягивать, потягиваться]
поучение	[поучать]
пофыркивание	[пофыркивать]
похваливание	[похваливать]
похищение	[похитить, похищать]
похлипывание	[похлипывать]
похмелка	[похмеляться, похмелиться]
похолодание	[похолодать]
похранение	[похранить]
похрапывание	[похрапывать]
похрустывание	[похрустывать]
похрюкивание	[похрюкивать]
похудение	[похудеть]
почавкивание	[почавкивать]
почернение	[почернеть]
почёсывание	[почёсывать]
почивание	[почивать]
починка	[починить, починять]
почитание	[почитать]
почтение	[почтить]
пошаркивание	[пошаркивать]
пошатывание	[пошатывать]
пошевеливание	[пошевеливать]
пощелкивание	[пощёлкивать]
пощипывание	[пощипывать]
поэтизирование	[поэтизировать]
появление	[появиться, появляться]
пояснение	[пояснить, пояснять]
правка	[править]
правление	[править]
праздничание	[праздничать]
празднование	[праздновать]
праздномыслие	[праздномыслить]
празднословие	[празднословить]
пребывание	[пребывать]
превалирование	[превалировать]
превозвышение	[превозвышать, превозвышаться]
превозмогание	[превозмогать]
превознесение	[превознести, превознестись]
превозношение	[превозносить, превозноситься]
превращение	[превращать, превратить, превращаться, превратиться, превращаться, превратиться]
превышение	[превышать, превысить]
преграждение	[преграждать, преградить]
предание	[предать]
предварение	[предварять, предварить, предваряться, предвариться]
предвидение	[предвидеть]
предвкушение	[предвкушать, предвкусить]
предвозвещение	[предвозвещать, предвозвестить, предвозвещаться, предвозвеститься]
предвосхищение	[предвосхищать, предвосхитить, предвосхищаться]
предложение	[предложить, предлагать]
предназначение	[предназначать, предназначить]
предначинание	[предначинать]
предопределение	[предопределять, предопределить, предопределяться, предопределиться]
предоставление	[предоставлять, предоставить]
предостережение	[предостерегать, предостеречь]
предотвращение	[предотвращать, предотвратить]
предохранение	[предохранять, предохранить, предохраняться, предохраниться]
предощущение	[предощущать, предощутить]
предписание	[предписать]
предрекание	[предрекать]
предречение	[предречь]
предрешение	[предрешать, предрешить]
председательствование	[председательствовать]
предсказание	[предсказать]
предсказывание	[предсказывать]
представление	[представлять, представить, представляться, представиться]
предстояние	[предстоять]
предуведомление	[предуведомить]
предугадывание	[предугадывать]
предуготовление	[предуготовлять, предуготовить]
предупреждение	[предупреждать, предупредить]
предусматривание	[предусматривать]
предусмотрение	[предусмотреть]
предшествование	[предшествовать]
предъявление	[предъявлять, предъявить]
презрение	[презирать]
преклонение	[преклонять, преклонить, преклоняться, преклониться]
прекращение	[прекращать, прекратить, прекращаться, прекратиться]
преложение	[преложить]
преломление	[преломлять, преломить, преломляться, преломиться]
прельщение	[прельщать, прельстить, прельщаться, прельститься]
премирование	[премировать]
пренебрежение	[пренебрегать, пренебречь]
прение	[преть, преть]
преображение	[преображать, преобразить, преображаться, преобразиться]
преобразование	[преобразовать, преобразоваться]
преобразовывание	[преобразовывать, преобразовываться]
преодоление	[преодолеть]
препарирование	[препарировать]
препинание	[препинаться]
препирание	[препираться]
преподавание	[преподавать]
преподача	[преподать]
преподнесение	[преподнести]
преподношение	[преподносить]
препоручение	[препоручать, препоручить]
препровождение	[препровождать, препроводить]
пререкание	[пререкаться]
прерывание	[прерывать, прерываться]
пресечение	[пресечь]
преследование	[преследовать]
пресмыкание	[пресмыкаться]
прессование	[прессовать]
прессовка	[прессовать]
преставление	[преставиться]
пресыщение	[пресыщать, пресытить, пресыщаться, пресытиться]
претворение	[претворять, претворить, претворяться, претвориться]
преувеличение	[преувеличить]
преувеличивание	[преувеличивать]
преуменьшение	[преуменьшать]
преумножение	[преумножать, преумножить]
преуспевание	[преуспевать]
приарендовывание	[приарендовывать]
приарканивание	[приарканивать]
прибавка	[прибавлять, прибавить, прибавляться, прибавиться]
прибавление	[прибавлять, прибавляться]
прибаюкивание	[прибаюкивать]
прибивание	[прибивать]
прибивка	[прибить]
прибинтовывание	[прибинтовывать]
прибирание	[прибирать]
приближение	[приближать, приближаться]
приборка	[прибрать]
приброска	[прибросить, прибросать]
прибывание	[прибывать]
прибытие	[прибыть]
приваживание	[приваживать]
привал	[приваливать, привалить]
